  0,  0,  0
0,0,0
  1,  1,  1
1,1,1
  2,  2,  2
2,2,2
  3,  3,  3
3,3,3
  4,  4,  4
4,4,4
  5,  5,  5
5,5,5
  6,  6,  6
6,6,6
  7,  7,  7
7,7,7
  8,  8,  8
8,8,8
  9,  9,  9
9,9,9
 10, 10, 10
10,10,10
 11, 11, 11
11,11,11
 12, 12, 12
12,12,12
 13, 13, 13
13,13,13
 14, 14, 14
14,14,14
 15, 15, 15
15,15,15
 16, 16, 16
16,16,16
 17, 17, 17
17,17,17
 18, 18, 18
18,18,18
 19, 19, 19
19,19,19
 20, 20, 20
20,20,20
 21, 21, 21
21,21,21
 22, 22, 22
22,22,22
 23, 23, 23
23,23,23
 24, 24, 24
24,24,24
 25, 25, 25
25,25,25
 26, 26, 26
26,26,26
 27, 27, 27
27,27,27
 28, 28, 28
28,28,28
 29, 29, 29
29,29,29
 30, 30, 30
30,30,30
 31, 31, 31
31,31,31
 32, 32, 32
32,32,32
 33, 33, 33
33,33,33
 34, 34, 34
34,34,34
 35, 35, 35
35,35,35
 36, 36, 36
36,36,36
 37, 37, 37
37,37,37
 38, 38, 38
38,38,38
 39, 39, 39
39,39,39
 40, 40, 40
40,40,40
 41, 41, 41
41,41,41
 42, 42, 42
42,42,42
 43, 43, 43
43,43,43
 44, 44, 44
44,44,44
 45, 45, 45
45,45,45
 46, 46, 46
46,46,46
 47, 47, 47
47,47,47
 48, 48, 48
48,48,48
 49, 49, 49
49,49,49
 50, 50, 50
50,50,50
 51, 51, 51
51,51,51
 52, 52, 52
52,52,52
 53, 53, 53
53,53,53
 54, 54, 54
54,54,54
 55, 55, 55
55,55,55
 56, 56, 56
56,56,56
 57, 57, 57
57,57,57
 58, 58, 58
58,58,58
 59, 59, 59
59,59,59
 60, 60, 60
60,60,60
 61, 61, 61
61,61,61
 62, 62, 62
62,62,62
 63, 63, 63
63,63,63
 64, 64, 64
64,64,64
 65, 65, 65
65,65,65
 66, 66, 66
66,66,66
 67, 67, 67
67,67,67
 68, 68, 68
68,68,68
 69, 69, 69
69,69,69
 70, 70, 70
70,70,70
 71, 71, 71
71,71,71
 72, 72, 72
72,72,72
 73, 73, 73
73,73,73
 74, 74, 74
74,74,74
 76, 76, 76
76,76,76
 77, 77, 77
77,77,77
 78, 78, 78
78,78,78
 79, 79, 79
79,79,79
 80, 80, 80
80,80,80
 81, 81, 81
81,81,81
 82, 82, 82
82,82,82
 84, 84, 84
84,84,84
 85, 85, 85
85,85,85
 86, 86, 86
86,86,86
 87, 87, 87
87,87,87
 88, 88, 88
88,88,88
 90, 90, 90
90,90,90
 91, 91, 91
91,91,91
 92, 92, 92
92,92,92
 93, 93, 93
93,93,93
 95, 95, 95
95,95,95
 96, 96, 96
96,96,96
 97, 97, 97
97,97,97
 99, 99, 99
99,99,99
100,100,100
100,100,100
101,101,101
101,101,101
103,103,103
103,103,103
104,104,104
104,104,104
105,105,105
105,105,105
107,107,107
107,107,107
108,108,108
108,108,108
109,109,109
109,109,109
111,111,111
111,111,111
112,112,112
112,112,112
114,114,114
114,114,114
115,115,115
115,115,115
116,116,116
116,116,116
118,118,118
118,118,118
119,119,119
119,119,119
121,121,121
121,121,121
122,122,122
122,122,122
124,124,124
124,124,124
125,125,125
125,125,125
127,127,127
127,127,127
128,128,128
128,128,128
130,130,130
130,130,130
131,131,131
131,131,131
133,133,133
133,133,133
134,134,134
134,134,134
136,136,136
136,136,136
138,138,138
138,138,138
139,139,139
139,139,139
141,141,141
141,141,141
142,142,142
142,142,142
144,144,144
144,144,144
146,146,146
146,146,146
147,147,147
147,147,147
149,149,149
149,149,149
151,151,151
151,151,151
152,152,152
152,152,152
154,154,154
154,154,154
156,156,156
156,156,156
157,157,157
157,157,157
159,159,159
159,159,159
161,161,161
161,161,161
163,163,163
163,163,163
164,164,164
164,164,164
166,166,166
166,166,166
168,168,168
168,168,168
170,170,170
170,170,170
171,171,171
171,171,171
173,173,173
173,173,173
175,175,175
175,175,175
177,177,177
177,177,177
179,179,179
179,179,179
181,181,181
181,181,181
183,183,183
183,183,183
184,184,184
184,184,184
186,186,186
186,186,186
188,188,188
188,188,188
190,190,190
190,190,190
192,192,192
192,192,192
194,194,194
194,194,194
196,196,196
196,196,196
198,198,198
198,198,198
200,200,200
200,200,200
202,202,202
202,202,202
204,204,204
204,204,204
206,206,206
206,206,206
208,208,208
208,208,208
210,210,210
210,210,210
212,212,212
212,212,212
214,214,214
214,214,214
216,216,216
216,216,216
218,218,218
218,218,218
220,220,220
220,220,220
222,222,222
222,222,222
224,224,224
224,224,224
226,226,226
226,226,226
229,229,229
229,229,229
231,231,231
231,231,231
233,233,233
233,233,233
235,235,235
235,235,235
237,237,237
237,237,237
239,239,239
239,239,239
242,242,242
242,242,242
244,244,244
244,244,244
246,246,246
246,246,246
248,248,248
248,248,248
250,250,250
250,250,250
253,253,253
253,253,253
255,255,255
255,255,255
